classes,class_desc
MediaPlayer.DrmInfo,Encapsulates the DRM properties of the source.
MediaPlayer.MetricsConstants,
MediaPlayer.NoDrmSchemeException,Thrown when a DRM method is called before preparing a DRM scheme through prepareDrm().
MediaPlayer.OnBufferingUpdateListener,"Interface definition of a callback to be invoked indicating buffering
 status of a media resource being streamed over the network."
MediaPlayer.OnCompletionListener,"Interface definition for a callback to be invoked when playback of
 a media source has completed."
MediaPlayer.OnDrmConfigHelper,"Interface definition of a callback to be invoked when the app
 can do DRM configuration (get/set properties) before the session
 is opened."
MediaPlayer.OnDrmInfoListener,"Interface definition of a callback to be invoked when the
 DRM info becomes available"
MediaPlayer.OnDrmPreparedListener,"Interface definition of a callback to notify the app when the
 DRM is ready for key request/response"
MediaPlayer.OnErrorListener,"Interface definition of a callback to be invoked when there
 has been an error during an asynchronous operation (other errors
 will throw exceptions at method call time)."
MediaPlayer.OnInfoListener,"Interface definition of a callback to be invoked to communicate some
 info and/or warning about the media or its playback."
MediaPlayer.OnMediaTimeDiscontinuityListener,"Interface definition of a callback to be invoked when discontinuity in the normal progression
 of the media time is detected."
MediaPlayer.OnPreparedListener,"Interface definition for a callback to be invoked when the media
 source is ready for playback."
MediaPlayer.OnSeekCompleteListener,"Interface definition of a callback to be invoked indicating
 the completion of a seek operation."
MediaPlayer.OnSubtitleDataListener,"Interface definition of a callback to be invoked when a player subtitle track has new
 subtitle data available."
MediaPlayer.OnTimedMetaDataAvailableListener,"Interface definition of a callback to be invoked when a
 track has timed metadata available."
MediaPlayer.OnTimedTextListener,"Interface definition of a callback to be invoked when a
 timed text is available for display."
MediaPlayer.OnVideoSizeChangedListener,"Interface definition of a callback to be invoked when the
 video size is first known or updated"
MediaPlayer.ProvisioningNetworkErrorException,"Thrown when the device requires DRM provisioning but the provisioning attempt has
 failed due to a network error (Internet reachability, timeout, etc.)."
MediaPlayer.ProvisioningServerErrorException,"Thrown when the device requires DRM provisioning but the provisioning attempt has
 failed due to the provisioning server denying the request."
MediaPlayer.TrackInfo,Class for MediaPlayer to return each audio/video/subtitle track's metadata.
MediaProjection,"A token granting applications the ability to capture screen contents and/or
 record system audio."
MediaProjection.Callback,Callbacks for the projection session.
MediaProjectionManager,Manages the retrieval of certain types of MediaProjection tokens.
MediaRecorder,Used to record audio and video.
MediaRecorder.AudioEncoder,Defines the audio encoding.
MediaRecorder.AudioSource,Defines the audio source.
MediaRecorder.MetricsConstants,
MediaRecorder.OnErrorListener,"Interface definition for a callback to be invoked when an error
 occurs while recording."
MediaRecorder.OnInfoListener,"Interface definition of a callback to be invoked to communicate some
 info and/or warning about the recording."
MediaRecorder.OutputFormat,Defines the output format.
MediaRecorder.VideoEncoder,Defines the video encoding.
MediaRecorder.VideoSource,Defines the video source.
MediaRouteActionProvider,"The media route action provider displays a media route button
 in the application's ActionBar to allow the user to select routes and
 to control the currently selected route."
MediaRouteButton,
MediaRouter,"MediaRouter allows applications to control the routing of media channels
 and streams from the current device to external speakers and destination devices."
MediaRouter.Callback,Interface for receiving events about media routing changes.
MediaRouter.RouteCategory,Definition of a category of routes.
MediaRouter.RouteGroup,Information about a route that consists of multiple other routes in a group.
MediaRouter.RouteInfo,Information about a media route.
MediaRouter.SimpleCallback,Stub implementation of MediaRouter.Callback.
MediaRouter.UserRouteInfo,Information about a route that the application may define and modify.
MediaRouter.VolumeCallback,Interface for receiving events about volume changes.
MediaScannerConnection,"MediaScannerConnection provides a way for applications to pass a
 newly created or downloaded media file to the media scanner service."
MediaScannerConnection.MediaScannerConnectionClient,"An interface for notifying clients of MediaScannerConnection
 when a connection to the MediaScanner service has been established
 and when the scanning of a file has completed."
MediaScannerConnection.OnScanCompletedListener,"Interface for notifying clients of the result of scanning a
 requested media file."
MediaSession,"Allows interaction with media controllers, volume keys, media buttons, and
 transport controls."
MediaSession.Callback,"Receives media buttons, transport controls, and commands from controllers
 and the system."
MediaSession.QueueItem,A single item that is part of the play queue.
MediaSession.Token,Represents an ongoing session.
MediaSessionManager,"Provides support for interacting with media sessions
 that applications have published to express their ongoing media playback
 state."
MediaSessionManager.OnActiveSessionsChangedListener,Listens for changes to the list of active sessions.
MediaSessionManager.RemoteUserInfo,Information of a remote user of MediaSession or MediaBrowserService.
MediaStore,"The Media provider contains meta data for all available media on both internal
 and external storage devices."
MediaStore.Audio,Container for all audio content.
MediaStore.Audio.AlbumColumns,Columns representing an album
MediaStore.Audio.Albums,Contains artists for audio files
MediaStore.Audio.ArtistColumns,Columns representing an artist
MediaStore.Audio.Artists,Contains artists for audio files
MediaStore.Audio.Artists.Albums,"Sub-directory of each artist containing all albums on which
 a song by the artist appears."
MediaStore.Audio.AudioColumns,Columns for audio file that show up in multiple tables.
MediaStore.Audio.Genres,Contains all genres for audio files
MediaStore.Audio.Genres.Members,Sub-directory of each genre containing all members.
MediaStore.Audio.GenresColumns,Columns representing an audio genre
MediaStore.Audio.Media,
MediaStore.Audio.Playlists,Contains playlists for audio files
MediaStore.Audio.Playlists.Members,Sub-directory of each playlist containing all members.
MediaStore.Audio.PlaylistsColumns,Columns representing a playlist
MediaStore.Audio.Radio,
MediaStore.Files,"Media provider table containing an index of all files in the media storage,
 including non-media files."
MediaStore.Files.FileColumns,Fields for master table for all media files.
MediaStore.Images,Contains meta data for all available images.
MediaStore.Images.ImageColumns,
MediaStore.Images.Media,
MediaStore.Images.Thumbnails,"This class allows developers to query and get two kinds of thumbnails:
 MINI_KIND: 512 x 384 thumbnail
 MICRO_KIND: 96 x 96 thumbnail"
